"unitid","institution name","year","EF2023A.Level of student","EF2023A_RV.Grand total","EF2023A_RV.Hispanic total","IDX_EF"
"222567","Alvin Community College","2023","All students, Undergraduate total","5830","2280","-2"
"222831","Angelo State University","2023","All students, Undergraduate total","9623","3686","-2"
"222992","Austin Community College District","2023","All students, Undergraduate total","35600","14607","-2"
"223506","Brazosport College","2023","All students, Undergraduate total","4100","1893","-2"
"224147","Texas A & M University-Corpus Christi","2023","All students, Undergraduate total","7822","4177","-2"
"224350","Del Mar College","2023","All students, Undergraduate total","9720","6913","-2"
"224545","Texas A&M University-Texarkana","2023","All students, Undergraduate total","1760","339","-2"
"224554","Texas A & M University-Commerce","2023","All students, Undergraduate total","8318","2166","-2"
"224615","Dallas College","2023","All students, Undergraduate total","66592","33869","-2"
"224961","Galveston College","2023","All students, Undergraduate total","2119","912","-2"
"225070","Grayson College","2023","All students, Undergraduate total","4176","901","-2"
"225308","Trinity Valley Community College","2023","All students, Undergraduate total","5300","1538","-2"
"225414","University of Houston-Clear Lake","2023","All students, Undergraduate total","6108","3032","-2"
"225423","Houston Community College","2023","All students, Undergraduate total","49749","19303","-2"
"225432","University of Houston-Downtown","2023","All students, Undergraduate total","12880","7528","-2"
"225502","University of Houston-Victoria","2023","All students, Undergraduate total","2707","1212","-2"
"225511","University of Houston","2023","All students, Undergraduate total","37946","14182","-2"
"226091","Lamar University","2023","All students, Undergraduate total","7998","1920","-2"
"226134","Laredo College","2023","All students, Undergraduate total","10191","9700","-2"
"226152","Texas A & M International University","2023","All students, Undergraduate total","7004","6378","-2"
"226408","College of the Mainland","2023","All students, Undergraduate total","4961","1829","-2"
"226806","Midland College","2023","All students, Undergraduate total","5219","3047","-2"
"226833","Midwestern State University","2023","All students, Undergraduate total","4507","1169","-2"
"227146","Navarro College","2023","All students, Undergraduate total","6549","1545","-2"
"227182","Lone Star College System","2023","All students, Undergraduate total","70991","29849","-2"
"227216","University of North Texas","2023","All students, Undergraduate total","33858","10092","-2"
"227304","Odessa College","2023","All students, Undergraduate total","8708","5857","-2"
"227368","The University of Texas Rio Grande Valley","2023","All students, Undergraduate total","27040","25339","-2"
"227526","Prairie View A & M University","2023","All students, Undergraduate total","8527","633","-2"
"227854","St Philip's College","2023","All students, Undergraduate total","14281","9653","-2"
"227881","Sam Houston State University","2023","All students, Undergraduate total","18179","5110","-2"
"227924","San Antonio College","2023","All students, Undergraduate total","18975","13162","-2"
"227979","San Jacinto Community College","2023","All students, Undergraduate total","31494","19951","-2"
"228431","Stephen F Austin State University","2023","All students, Undergraduate total","9575","2191","-2"
"228459","Texas State University","2023","All students, Undergraduate total","34547","14578","-2"
"228501","Sul Ross State University","2023","All students, Undergraduate total","1441","982","-2"
"228529","Tarleton State University","2023","All students, Undergraduate total","13688","3384","-2"
"228644","The University of Texas Health Science Center at San Antonio","2023","All students, Undergraduate total","864","517","-2"
"228653","The University of Texas Medical Branch at Galveston","2023","All students, Undergraduate total","559","161","-2"
"228705","Texas A & M University-Kingsville","2023","All students, Undergraduate total","5187","3974","-2"
"228723","Texas A & M University-College Station","2023","All students, Undergraduate total","59933","15324","-2"
"228769","The University of Texas at Arlington","2023","All students, Undergraduate total","31112","12253","-2"
"228778","The University of Texas at Austin","2023","All students, Undergraduate total","42444","11963","-2"
"228787","The University of Texas at Dallas","2023","All students, Undergraduate total","21329","3851","-2"
"228796","The University of Texas at El Paso","2023","All students, Undergraduate total","20609","18064","-2"
"228802","The University of Texas at Tyler","2023","All students, Undergraduate total","7287","1968","-2"
"228909","University of North Texas Health Science Center","2023","All students, Undergraduate total","17","5","-2"
"229018","The University of Texas Permian Basin","2023","All students, Undergraduate total","4654","2436","-2"
"229027","The University of Texas at San Antonio","2023","All students, Undergraduate total","30310","18526","-2"
"229063","Texas Southern University","2023","All students, Undergraduate total","6619","485","-2"
"229115","Texas Tech University","2023","All students, Undergraduate total","32635","9668","-2"
"229179","Texas Woman's University","2023","All students, Undergraduate total","10260","3695","-2"
"229300","The University of Texas Health Science Center at Houston","2023","All students, Undergraduate total","460","153","-2"
"229337","Texas Tech University Health Sciences Center","2023","All students, Undergraduate total","1374","456","-2"
"229355","Tyler Junior College","2023","All students, Undergraduate total","11977","3418","-2"
"229799","Weatherford College","2023","All students, Undergraduate total","5440","1230","-2"
"229814","West Texas A & M University","2023","All students, Undergraduate total","6864","2344","-2"
"246354","Palo Alto College","2023","All students, Undergraduate total","10908","8439","-2"
"247834","Collin County Community College District","2023","All students, Undergraduate total","37772","8516","-2"
"409315","South Texas College","2023","All students, Undergraduate total","26440","25296","-2"
"416801","The University of Texas MD Anderson Cancer Center","2023","All students, Undergraduate total","322","121","-2"
"420398","Northwest Vista College","2023","All students, Undergraduate total","18808","12445","-2"
"459949","Texas A&M University-San Antonio","2023","All students, Undergraduate total","6706","4733","-2"
"483036","Texas A&M University-Central Texas","2023","All students, Undergraduate total","1702","521","-2"
"484905","University of North Texas at Dallas","2023","All students, Undergraduate total","3018","1657","-2"
"492689","Texas Tech University Health Sciences Center-El Paso","2023","All students, Undergraduate total","235","206","-2"
