"unitid","institution name","year","EF2024A.Level of student","EF2024A.Grand total","EF2024A.Hispanic total","IDX_EF"
"222567","Alvin Community College","2024","All students, Undergraduate total","5872","2326","-2"
"222831","Angelo State University","2024","All students, Undergraduate total","9702","3724","-2"
"222992","Austin Community College District","2024","All students, Undergraduate total","39727","16774","-2"
"223506","Brazosport College","2024","All students, Undergraduate total","3812","1704","-2"
"224147","Texas A & M University-Corpus Christi","2024","All students, Undergraduate total","8320","4492","-2"
"224350","Del Mar College","2024","All students, Undergraduate total","10256","7330","-2"
"224545","Texas A&M University-Texarkana","2024","All students, Undergraduate total","1982","458","-2"
"224554","Texas A & M University-Commerce","2024","All students, Undergraduate total","9992","2698","-2"
"224615","Dallas College","2024","All students, Undergraduate total","69749","34387","-2"
"224961","Galveston College","2024","All students, Undergraduate total","2405","1030","-2"
"225070","Grayson College","2024","All students, Undergraduate total","4324","977","-2"
"225308","Trinity Valley Community College","2024","All students, Undergraduate total","5961","1740","-2"
"225414","University of Houston-Clear Lake","2024","All students, Undergraduate total","6139","3113","-2"
"225423","Houston Community College","2024","All students, Undergraduate total","53253","20733","-2"
"225432","University of Houston-Downtown","2024","All students, Undergraduate total","12622","7483","-2"
"225502","University of Houston-Victoria","2024","All students, Undergraduate total","2627","1218","-2"
"225511","University of Houston","2024","All students, Undergraduate total","39257","14860","-2"
"226091","Lamar University","2024","All students, Undergraduate total","8184","1813","-2"
"226134","Laredo College","2024","All students, Undergraduate total","11029","10450","-2"
"226152","Texas A & M International University","2024","All students, Undergraduate total","7210","6517","-2"
"226408","College of the Mainland","2024","All students, Undergraduate total","5127","1863","-2"
"226806","Midland College","2024","All students, Undergraduate total","5690","3239","-2"
"226833","Midwestern State University","2024","All students, Undergraduate total","4303","1199","-2"
"227146","Navarro College","2024","All students, Undergraduate total","6557","1872","-2"
"227182","Lone Star College System","2024","All students, Undergraduate total","73077","31275","-2"
"227216","University of North Texas","2024","All students, Undergraduate total","34458","10385","-2"
"227304","Odessa College","2024","All students, Undergraduate total","9981","6624","-2"
"227368","The University of Texas Rio Grande Valley","2024","All students, Undergraduate total","28674","26728","-2"
"227526","Prairie View A & M University","2024","All students, Undergraduate total","8877","647","-2"
"227854","St Philip's College","2024","All students, Undergraduate total","17299","11727","-2"
"227881","Sam Houston State University","2024","All students, Undergraduate total","17787","5166","-2"
"227924","San Antonio College","2024","All students, Undergraduate total","19901","13869","-2"
"227979","San Jacinto Community College","2024","All students, Undergraduate total","31812","20158","-2"
"228431","Stephen F Austin State University","2024","All students, Undergraduate total","9129","2117","-2"
"228459","Texas State University","2024","All students, Undergraduate total","36236","14889","-2"
"228501","Sul Ross State University","2024","All students, Undergraduate total","1890","1311","-2"
"228529","Tarleton State University","2024","All students, Undergraduate total","15254","3185","-2"
"228644","The University of Texas Health Science Center at San Antonio","2024","All students, Undergraduate total","930","545","-2"
"228653","The University of Texas Medical Branch at Galveston","2024","All students, Undergraduate total","545","215","-2"
"228705","Texas A & M University-Kingsville","2024","All students, Undergraduate total","5386","4197","-2"
"228723","Texas A & M University-College Station","2024","All students, Undergraduate total","60710","15625","-2"
"228769","The University of Texas at Arlington","2024","All students, Undergraduate total","32545","12843","-2"
"228778","The University of Texas at Austin","2024","All students, Undergraduate total","43165","12193","-2"
"228787","The University of Texas at Dallas","2024","All students, Undergraduate total","21858","3992","-2"
"228796","The University of Texas at El Paso","2024","All students, Undergraduate total","21118","18591","-2"
"228802","The University of Texas at Tyler","2024","All students, Undergraduate total","7683","2220","-2"
"228909","University of North Texas Health Science Center","2024","All students, Undergraduate total","41","17","-2"
"229018","The University of Texas Permian Basin","2024","All students, Undergraduate total","4218","2247","-2"
"229027","The University of Texas at San Antonio","2024","All students, Undergraduate total","31127","19033","-2"
"229063","Texas Southern University","2024","All students, Undergraduate total","6844","548","-2"
"229115","Texas Tech University","2024","All students, Undergraduate total","32580","9875","-2"
"229179","Texas Woman's University","2024","All students, Undergraduate total","10039","3874","-2"
"229300","The University of Texas Health Science Center at Houston","2024","All students, Undergraduate total","465","156","-2"
"229337","Texas Tech University Health Sciences Center","2024","All students, Undergraduate total","1482","521","-2"
"229355","Tyler Junior College","2024","All students, Undergraduate total","11885","3499","-2"
"229799","Weatherford College","2024","All students, Undergraduate total","6520","1442","-2"
"229814","West Texas A & M University","2024","All students, Undergraduate total","6926","2436","-2"
"246354","Palo Alto College","2024","All students, Undergraduate total","12395","9441","-2"
"247834","Collin County Community College District","2024","All students, Undergraduate total","39548","8683","-2"
"409315","South Texas College","2024","All students, Undergraduate total","27431","26280","-2"
"416801","The University of Texas MD Anderson Cancer Center","2024","All students, Undergraduate total","334","139","-2"
"420398","Northwest Vista College","2024","All students, Undergraduate total","20060","13275","-2"
"459949","Texas A&M University-San Antonio","2024","All students, Undergraduate total","7062","4538","-2"
"483036","Texas A&M University-Central Texas","2024","All students, Undergraduate total","1755","525","-2"
"484905","University of North Texas at Dallas","2024","All students, Undergraduate total","2953","1662","-2"
"492689","Texas Tech University Health Sciences Center-El Paso","2024","All students, Undergraduate total","242","214","-2"
